Invoice_ID,Supplier_ID,Invoice_Amount,Invoice_Date,Due_Date,Payment_Date,Status,Paid_Amount,Outstanding,Unnamed: 9,Name,ABN,Country,Service_Category,Supplier_Type,Terms (Days),Contact_Name,Contact_Email,Duplicate_ABN,Duplicate_Invoice,High_Amount,Risk_Score,Payment_Status,Paid_Late_Flag,Paid_OnTime_Flag,Pending_Flag,Unpaid_NoDue_Flag,Unpaid_LatePayNow_Flag,Unpaid_TodayPayNow_Flag,Unpaid_HighPriority_Flag,Unpaid_Priority_Flag,Unpaid_Flag
11,53,4982.75,2025-02-01,2025-02-08,2025-02-14,Late,"$4,982.75",$0.00,,Vang-Schmidt,78961183673,AU,Hydraulic Components,Parts Supplier Company,7,Ronald Ross,edwardslarry@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
12,79,1207.24,2025-02-01,2025-02-08,2025-02-10,Late,"$1,207.24",$0.00,,"Winters, Morgan and Bradshaw",109439690,AU,Repair and Maintenance,Individual service contractors,7,Mr. Dylan Frye MD,eevans@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
13,27,5423.68,2025-02-01,2025-02-08,2025-02-18,Late,"$5,423.68",$0.00,,Caldwell-Elliott,37452991241,AU,Welding,Individual service contractors,7,Tanya Johnston,tsanders@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
14,44,5491.29,2025-02-01,2025-03-03,2025-03-13,Late,"$5,491.29",$0.00,,Brooks-Thomas,86922219693,AU,Fabrication Services,Supplier Company,30,Mr. David Little MD,nolansteven@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
15,50,6458.99,2025-02-01,2025-02-08,2025-02-13,Late,"$6,458.99",$0.00,,"Winters, Newman and Brown",43171390053,AU,Hydraulic Components,Parts Supplier Company,7,Rachel Harris DVM,brendali@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
16,19,6408.58,2025-02-01,2025-02-08,2025-02-14,Late,"$6,408.58",$0.00,,"Hartman, Graham and Joyce",16934060883,AU,Hydraulic Components,Parts Supplier Company,7,Benjamin Beck,cindy14@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
17,22,2864.18,2025-02-01,2025-04-02,2025-03-14,On Time,"$2,864.18",$0.00,,Stafford Inc,63287083172,AU,Logistics and Freight,Freight Company,60,Mary Travis,stephanie79@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
18,46,3238.89,2025-02-02,2025-02-09,2025-02-12,Late,"$3,238.89",$0.00,,"Beltran, Lozano and Mcgee",43953394210,AU,Electrical Parts,Parts Supplier Company,7,Jeremiah Riley,christopherphillips@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
19,30,8899.58,2025-02-02,2025-04-03,2025-02-06,On Time,"$8,899.58",$0.00,,Peterson-Beard,48083136783,AU,Logistics and Freight,Freight Company,60,Maria Henry,davisjeffrey@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
20,73,7278.23,2025-02-02,2025-03-04,2025-03-03,On Time,"$7,278.23",$0.00,,"Carter, Garcia and Murphy",44796275705,AU,Fabrication Services,Supplier Company,30,Jessica Fowler,jonesdana@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
21,3,4106.66,2025-02-02,2025-02-09,2025-02-15,Late,"$4,106.66",$0.00,,Ray-Bush,3413164752,AU,Steel and Materials,Parts Supplier Company,7,Daniel Adams,lynchgeorge@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
22,3,7517.61,2025-02-02,2025-02-09,2025-02-16,Late,"$7,517.61",$0.00,,Ray-Bush,3413164752,AU,Steel and Materials,Parts Supplier Company,7,Daniel Adams,lynchgeorge@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
23,12,4134.07,2025-02-02,2025-02-09,2025-02-11,Late,"$4,134.07",$0.00,,Phillips Inc,98050097882,AU,Welding,Individual service contractors,7,Jordan York,larsonemma@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
24,21,3338.73,2025-02-02,2025-03-04,2025-02-13,On Time,"$3,338.73",$0.00,,"Jackson, Miller and Robertson",95134332003,AU,Paints and Coatings,Supplier Company,30,Miss Patricia Gibson,jennifercruz@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
25,22,6269.45,2025-02-02,2025-04-03,2025-04-10,Late,"$6,269.45",$0.00,,Stafford Inc,63287083172,AU,Logistics and Freight,Freight Company,60,Mary Travis,stephanie79@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
26,77,2761.41,2025-02-02,2025-02-09,2025-02-04,On Time,"$2,761.41",$0.00,,"Anderson, Henson and Jones",67866912517,AU,Hydraulic Components,Parts Supplier Company,7,Joseph Anderson,katrinaanderson@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
27,49,7846.39,2025-02-02,2025-03-04,2025-02-08,On Time,"$7,846.39",$0.00,,Young PLC,26758692617,AU,Fabrication Services,Supplier Company,30,Teresa Ramirez,jeff73@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
28,21,23906.26,2025-02-02,2025-03-04,2025-02-06,On Time,"$23,906.26",$0.00,,"Jackson, Miller and Robertson",95134332003,AU,Paints and Coatings,Supplier Company,30,Miss Patricia Gibson,jennifercruz@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
29,33,28640.2,2025-02-02,2025-03-04,2025-03-03,On Time,"$28,640.20",$0.00,,Lopez-Williams,71167190229,AU,Safety Equipment,Supplier Company,30,Angela Wright,yobrien@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
30,20,8726.5,2025-02-02,2025-03-04,2025-02-20,On Time,"$8,726.50",$0.00,,Terry-Spencer,36629946804,AU,Paints and Coatings,Supplier Company,30,Jeffrey Carpenter,steven73@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
31,24,3804.39,2025-02-02,2025-02-09,2025-02-19,Late,"$3,804.39",$0.00,,Russell-Daniels,60366909670,AU,Steel and Materials,Parts Supplier Company,7,Elizabeth Price,vmedina@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
32,9,1830.44,2025-02-02,2025-02-09,2025-02-04,On Time,"$1,830.44",$0.00,,Perez Inc,51834738299,AU,Welding,Individual service contractors,7,Richard Aguirre,clintonhopkins@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
33,74,8058.37,2025-02-02,2025-02-09,2025-02-08,On Time,"$8,058.37",$0.00,,Cisneros and Sons,97021355690,AU,Installation,Individual service contractors,7,Meghan Rush,scott19@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
34,37,9478.14,2025-02-02,2025-02-09,2025-02-08,On Time,"$9,478.14",$0.00,,Ruiz Ltd,74296717565,AU,Field Technicians,Individual service contractors,7,Brian Martin,ssteele@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
35,31,29226.84,2025-02-03,2025-03-05,2025-03-14,Late,"$29,226.84",$0.00,,Kennedy-Schmidt,68557444313,AU,Irrigation Systems,Supplier Company,30,Patrick Tapia,jamesrodgers@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
36,10,12030.21,2025-02-03,2025-02-10,2025-02-09,On Time,"$12,030.21",$0.00,,"Brown, Valdez and Lucas",6513338726,AU,Hydraulic Components,Parts Supplier Company,7,Joel Baxter,ramosmichelle@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
37,69,5162.83,2025-02-03,2025-02-10,2025-02-15,Late,"$5,162.83",$0.00,,Young-Martinez,36971179808,AU,Field Technicians,Individual service contractors,7,Michelle Carter,mendezjohn@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
38,23,9389.35,2025-02-03,2025-02-10,2025-02-11,Late,"$9,389.35",$0.00,,"Griffin, Moore and Hensley",74348734714,AU,Installation,Individual service contractors,7,George Orozco,taylorjesse@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
39,2,2546.15,2025-02-03,2025-02-10,2025-02-12,Late,"$2,546.15",$0.00,,Wolfe LLC,42351161559,AU,Hydraulic Components,Parts Supplier Company,7,Andrew Stevens,dudleynicholas@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
40,66,5508.22,2025-02-03,2025-02-10,2025-02-05,On Time,"$5,508.22",$0.00,,Bishop-Goodwin,73834735977,AU,Hydraulic Components,Parts Supplier Company,7,Paula Shaw,mburch@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
41,51,1435.1,2025-02-03,2025-02-10,2025-02-08,On Time,"$1,435.10",$0.00,,"Smith, Garrison and Thomas",28421020539,AU,Hydraulic Components,Parts Supplier Company,7,Christopher Williams,vfox@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
42,17,6480.72,2025-02-03,2025-02-10,2025-02-15,Late,"$6,480.72",$0.00,,"Henson, Russell and Oliver",23226025634,AU,Steel and Materials,Parts Supplier Company,7,Michael Reyes,garrisonjeffrey@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
43,74,5161.65,2025-02-03,2025-02-10,2025-02-18,Late,"$5,161.65",$0.00,,Cisneros and Sons,97021355690,AU,Installation,Individual service contractors,7,Meghan Rush,scott19@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
44,23,7420.87,2025-02-03,2025-02-10,2025-02-09,On Time,"$7,420.87",$0.00,,"Griffin, Moore and Hensley",74348734714,AU,Installation,Individual service contractors,7,George Orozco,taylorjesse@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
45,82,1380.46,2025-02-03,2025-03-05,2025-02-28,On Time,"$1,380.46",$0.00,,"Chambers, Mitchell and Smith",16245650609,AU,Agricultural Tyres,Supplier Company,30,Heidi Roberts,wgordon@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
46,18,19215.45,2025-02-03,2025-02-10,2025-02-19,Late,"$19,215.45",$0.00,,Walker Ltd,36541458685,AU,Steel and Materials,Parts Supplier Company,7,Ashley Waller,beverlyterrell@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
47,51,7536.11,2025-02-03,2025-02-10,2025-02-20,Late,"$7,536.11",$0.00,,"Smith, Garrison and Thomas",28421020539,AU,Hydraulic Components,Parts Supplier Company,7,Christopher Williams,vfox@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
48,60,9489.57,2025-02-03,2025-02-10,2025-02-15,Late,"$9,489.57",$0.00,,Jones Ltd,18835523124,AU,Steel and Materials,Parts Supplier Company,7,Lance Wolf,thompsonkendra@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
49,78,8538.65,2025-02-03,2025-02-10,2025-02-16,Late,"$8,538.65",$0.00,,Holmes LLC,22535841438,AU,Steel and Materials,Parts Supplier Company,7,Mario Mendez,shawgary@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
50,33,4669.1,2025-02-03,2025-03-05,2025-03-08,Late,"$4,669.10",$0.00,,Lopez-Williams,71167190229,AU,Safety Equipment,Supplier Company,30,Angela Wright,yobrien@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
51,64,1327.75,2025-02-03,2025-02-10,2025-02-06,On Time,"$1,327.75",$0.00,,Collins-Douglas,62914865281,AU,Hydraulic Components,Parts Supplier Company,7,Jessica Cox,kyle35@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
52,77,8577.51,2025-02-04,2025-02-11,2025-02-08,On Time,"$8,577.51",$0.00,,"Anderson, Henson and Jones",67866912517,AU,Hydraulic Components,Parts Supplier Company,7,Joseph Anderson,katrinaanderson@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
53,78,4443.15,2025-02-04,2025-02-11,2025-02-14,Late,"$4,443.15",$0.00,,Holmes LLC,22535841438,AU,Steel and Materials,Parts Supplier Company,7,Mario Mendez,shawgary@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
54,48,19744.43,2025-02-04,2025-02-11,2025-02-05,On Time,"$19,744.43",$0.00,,"Curry, Baker and James",51370985931,AU,Electrical Setup,Individual service contractors,7,Julie Haynes,cwilson@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
55,28,6746.08,2025-02-04,2025-02-11,2025-02-09,On Time,"$6,746.08",$0.00,,"Sanchez, Terry and Turner",91905865185,AU,Repair and Maintenance,Individual service contractors,7,Jason Henry,oyu@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
56,58,8114.72,2025-02-04,2025-03-06,2025-02-13,On Time,"$8,114.72",$0.00,,Saunders LLC,45107622683,AU,Agricultural Tyres,Supplier Company,30,Sandra Drake,sandersjudy@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
57,84,4567.25,2025-02-04,2025-02-11,2025-02-09,On Time,"$4,567.25",$0.00,,"Flores, Long and Jensen",49588879470,AU,Field Technicians,Individual service contractors,7,Michael Whitney,laura09@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
58,3,9132.97,2025-02-04,2025-02-11,2025-02-13,Late,"$9,132.97",$0.00,,Ray-Bush,3413164752,AU,Steel and Materials,Parts Supplier Company,7,Daniel Adams,lynchgeorge@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
59,63,7416.01,2025-02-04,2025-04-05,2025-03-24,On Time,"$7,416.01",$0.00,,Ritter-Warren,92554665905,AU,Logistics and Freight,Freight Company,60,Brandon Gregory,johnathan92@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
60,27,4742.2,2025-02-04,2025-02-11,2025-02-06,On Time,"$4,742.20",$0.00,,Caldwell-Elliott,37452991241,AU,Welding,Individual service contractors,7,Tanya Johnston,tsanders@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
61,32,9073.35,2025-02-04,2025-03-06,2025-02-11,On Time,"$9,073.35",$0.00,,"Carlson, Hooper and Wall",43524082400,AU,Paints and Coatings,Supplier Company,30,Melissa Martinez,agarcia@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
62,38,4155.0,2025-02-04,2025-02-11,2025-02-17,Late,"$4,155.00",$0.00,,"Johnson, Miller and King",16808760385,AU,Steel and Materials,Parts Supplier Company,7,Kathleen Ramos,harrisandrea@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
63,84,1703.11,2025-02-04,2025-02-11,2025-02-14,Late,"$1,703.11",$0.00,,"Flores, Long and Jensen",49588879470,AU,Field Technicians,Individual service contractors,7,Michael Whitney,laura09@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
64,46,5964.46,2025-02-04,2025-02-11,2025-02-06,On Time,"$5,964.46",$0.00,,"Beltran, Lozano and Mcgee",43953394210,AU,Electrical Parts,Parts Supplier Company,7,Jeremiah Riley,christopherphillips@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
65,62,16629.05,2025-02-04,2025-03-06,2025-02-24,On Time,"$16,629.05",$0.00,,Gilbert PLC,67980793597,AU,Safety Equipment,Supplier Company,30,Tina Hayes,toni18@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
66,65,9928.9,2025-02-04,2025-03-06,2025-02-14,On Time,"$9,928.90",$0.00,,Jones Inc,88805929622,AU,Irrigation Systems,Supplier Company,30,Michael Weber,jenniferwilliams@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
67,72,1222.15,2025-02-04,2025-02-11,2025-02-11,On Time,"$1,222.15",$0.00,,Mitchell Inc,54156676527,AU,Field Technicians,Individual service contractors,7,Holly Salinas,laurie61@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
68,81,1217.26,2025-02-04,2025-02-11,2025-02-17,Late,"$1,217.26",$0.00,,Li PLC,53278774701,AU,Electrical Setup,Individual service contractors,7,Kathy Levy,brandywilliams@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
69,43,5142.62,2025-02-05,2025-03-07,2025-03-17,Late,"$5,142.62",$0.00,,Sims-Clay,78091343161,AU,Irrigation Systems,Supplier Company,30,Michele Garcia,heatherberger@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
70,42,1458.25,2025-02-05,2025-02-12,2025-02-22,Late,"$1,458.25",$0.00,,Martinez PLC,51718702621,AU,Welding,Individual service contractors,7,Wayne Morgan,vsantos@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
71,75,4945.58,2025-02-05,2025-03-07,2025-03-09,Late,"$4,945.58",$0.00,,"Ramirez, Horne and Johnson",27868144739,AU,Paints and Coatings,Supplier Company,30,Thomas Henry,taylorcharles@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
72,56,1325.4,2025-02-05,2025-03-07,2025-03-13,Late,"$1,325.40",$0.00,,"Farmer, Dorsey and Bell",22961201836,AU,Fabrication Services,Supplier Company,30,Glen Wood,kimberly99@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
73,73,9987.8,2025-02-05,2025-03-07,2025-02-15,On Time,"$9,987.80",$0.00,,"Carter, Garcia and Murphy",44796275705,AU,Fabrication Services,Supplier Company,30,Jessica Fowler,jonesdana@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
74,49,7428.44,2025-02-05,2025-03-07,2025-02-23,On Time,"$7,428.44",$0.00,,Young PLC,26758692617,AU,Fabrication Services,Supplier Company,30,Teresa Ramirez,jeff73@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
75,19,9234.95,2025-02-05,2025-02-12,2025-02-08,On Time,"$9,234.95",$0.00,,"Hartman, Graham and Joyce",16934060883,AU,Hydraulic Components,Parts Supplier Company,7,Benjamin Beck,cindy14@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
76,79,4549.59,2025-02-05,2025-02-12,2025-02-07,On Time,"$4,549.59",$0.00,,"Winters, Morgan and Bradshaw",109439690,AU,Repair and Maintenance,Individual service contractors,7,Mr. Dylan Frye MD,eevans@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
77,6,9582.04,2025-02-05,2025-03-07,2025-02-18,On Time,"$9,582.04",$0.00,,Rice-Maddox,1845146270,AU,Paints and Coatings,Supplier Company,30,Sherri Baker,williamrodriguez@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
78,54,4758.3,2025-02-05,2025-03-07,2025-02-15,On Time,"$4,758.30",$0.00,,Jones-Decker,16152809885,AU,Fabrication Services,Supplier Company,30,Jennifer Russo,uparrish@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
79,55,3296.33,2025-02-05,2025-02-12,2025-02-12,On Time,"$3,296.33",$0.00,,Garcia-Romero,27315851493,AU,Field Technicians,Individual service contractors,7,Sarah Villegas,lynchdiane@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
80,1,2470.52,2025-02-05,2025-02-12,2025-02-07,On Time,"$2,470.52",$0.00,,"Rodriguez, Figueroa and Sanchez",21819600133,AU,Repair and Maintenance,Individual service contractors,7,Alyssa Gonzalez,lrobinson@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
81,34,8083.11,2025-02-05,2025-02-12,2025-02-13,Late,"$8,083.11",$0.00,,Kerr-Evans,96499091334,AU,Installation,Individual service contractors,7,Brooke Thompson,moorericky@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
82,60,2490.44,2025-02-05,2025-02-12,2025-02-21,Late,"$2,490.44",$0.00,,Jones Ltd,18835523124,AU,Steel and Materials,Parts Supplier Company,7,Lance Wolf,thompsonkendra@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
83,15,19192.13,2025-02-05,2025-02-12,2025-02-16,Late,"$19,192.13",$0.00,,Nelson PLC,35348740164,AU,Installation,Individual service contractors,7,Gavin Anderson,evan78@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
84,79,4349.05,2025-02-05,2025-02-12,2025-02-21,Late,"$4,349.05",$0.00,,"Winters, Morgan and Bradshaw",109439690,AU,Repair and Maintenance,Individual service contractors,7,Mr. Dylan Frye MD,eevans@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
85,34,5931.33,2025-02-05,2025-02-12,2025-02-16,Late,"$5,931.33",$0.00,,Kerr-Evans,96499091334,AU,Installation,Individual service contractors,7,Brooke Thompson,moorericky@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
86,81,5740.38,2025-02-06,2025-02-13,2025-02-23,Late,"$5,740.38",$0.00,,Li PLC,53278774701,AU,Electrical Setup,Individual service contractors,7,Kathy Levy,brandywilliams@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
87,36,8004.67,2025-02-06,2025-02-13,2025-02-14,Late,"$8,004.67",$0.00,,Barker-Lyons,48877190659,AU,Electrical Setup,Individual service contractors,7,Brandon Hayden,keyemily@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
88,29,4904.86,2025-02-06,2025-02-13,2025-02-15,Late,"$4,904.86",$0.00,,"Boyd, Santos and Gilbert",87769453147,AU,Welding,Individual service contractors,7,John Bishop,frogers@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
89,43,3705.12,2025-02-06,2025-03-08,2025-03-04,On Time,"$3,705.12",$0.00,,Sims-Clay,78091343161,AU,Irrigation Systems,Supplier Company,30,Michele Garcia,heatherberger@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
90,7,3703.08,2025-02-06,2025-03-08,2025-02-23,On Time,"$3,703.08",$0.00,,"Gonzalez, Brooks and Martin",80957015430,AU,Paints and Coatings,Supplier Company,30,Keith Miller,wcabrera@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
91,14,5995.13,2025-02-06,2025-02-13,2025-02-14,Late,"$5,995.13",$0.00,,Wagner and Sons,51354278498,AU,Hydraulic Components,Parts Supplier Company,7,Robert Evans,mcmillandennis@example.org,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
92,32,2379.32,2025-02-06,2025-03-08,2025-02-13,On Time,"$2,379.32",$0.00,,"Carlson, Hooper and Wall",43524082400,AU,Paints and Coatings,Supplier Company,30,Melissa Martinez,agarcia@example.net,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
93,70,4713.81,2025-02-06,2025-02-13,2025-02-19,Late,"$4,713.81",$0.00,,"Villegas, Jones and Fox",88806706540,AU,Repair and Maintenance,Individual service contractors,7,Austin Allen,ingramjill@example.com,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
94,54,3691.76,2025-02-06,2025-03-08,2025-02-22,On Time,"$3,691.76",$0.00,,Jones-Decker,16152809885,AU,Fabrication Services,Supplier Company,30,Jennifer Russo,uparrish@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
95,21,9536.42,2025-02-06,2025-03-08,2025-02-11,On Time,"$9,536.42",$0.00,,"Jackson, Miller and Robertson",95134332003,AU,Paints and Coatings,Supplier Company,30,Miss Patricia Gibson,jennifercruz@example.com,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
96,41,1512.13,2025-02-06,2025-02-13,2025-02-19,Late,"$1,512.13",$0.00,,"Washington, Cook and Hines",67533963605,AU,Electrical Parts,Parts Supplier Company,7,Michele Shepherd,ymcneil@example.net,0,0,0,0,Paid_Late,1,0,0,0,0,0,0,0,0
97,56,5258.57,2025-02-06,2025-03-08,2025-02-08,On Time,"$5,258.57",$0.00,,"Farmer, Dorsey and Bell",22961201836,AU,Fabrication Services,Supplier Company,30,Glen Wood,kimberly99@example.org,0,0,0,0,Paid_OnTime,0,1,0,0,0,0,0,0,0
